"","MEbrown","MEyellow","MEgreen","MEturquoise","MEblue","MEred","MEgrey"
"M6",-0.113534449857755,-0.0873005269219392,-0.211580444037466,-0.168676624683816,0.253972906294338,-0.0114505220438151,0.0196512435201647
"M7",-0.207415625123581,-0.120512426525118,-0.291677951363693,-0.272029776506961,0.124544065309157,-0.231386135335595,-0.332845197118261
"M8",-0.11950158235069,-0.0847581595695055,-0.211276486678452,-0.174747662063284,0.275126106896693,-7.69470831709709e-05,0.122702702682865
"M9",-0.122177103608258,-0.0861999350392725,-0.224256184450019,-0.190410781693571,0.234088256297772,-0.0492621187659809,0.205607577110767
"M10",-0.152549488059944,-0.101179558522065,-0.294187381321819,-0.251759637330767,0.200468469238104,-0.229256911122837,0.191216476723532
"M11",-0.182325884951906,-0.110219649150225,-0.334154074397382,-0.285817800333227,0.110664149462952,-0.311646892648058,-0.00179795516619787
"M13",-0.119604885691157,-0.0797922195404906,-0.238440510601339,-0.196437285876105,0.260523344842242,-0.0678594768481894,0.0588315740122591
"M14",-0.185273027597716,-0.108489800066799,-0.282461878543682,-0.267714912697728,0.212554262053755,-0.195619564434579,-0.150991625865134
"M23",-0.113849793696367,-0.0781089432868249,-0.101807880085559,-0.135815267009264,0.234033797485091,0.187679454769563,0.110719086354614
"M24",-0.147628631151707,-0.0986088582906401,-0.120877818709861,-0.180914098132557,0.225450550522113,0.174031255934787,0.188448771835377
"M26",-0.156013069356163,-0.0977651064681534,-0.0680338271163245,-0.162991576758285,0.223758275117716,0.255178624783639,0.0371423096513447
"M28",-0.149991288559688,-0.0945293915361347,-0.0745747027631501,-0.168123033424938,0.186544040862288,0.184285064552949,-0.038940695323479
"M35",-0.181668476678439,-0.123604093874977,0.141270039424144,-0.0766196477010949,0.0361247427423084,0.304311052567719,-0.126654586278331
"M36",-0.167458765133566,-0.10792459055313,0.188351714386882,-0.026944747249206,0.00539371407367183,0.306353165806085,-0.228176094857254
"M37",-0.163479367150414,-0.112280416754723,0.223264859355955,0.0027628642006495,-0.0489716181471479,0.285612347641665,-0.0480882006294215
"M39",-0.187822433516555,-0.133823738755432,0.203512400067705,-0.0313593976000114,-0.06691593906187,0.241524108275213,0.180829021381262
"M47",0.112326050964084,-0.0353519018018979,0.142647940892535,0.175838967560223,-0.209812711772391,-0.0473518549516127,-0.38830139425184
"M48",-0.0533353854903579,-0.111438112939258,0.189318460843823,0.106449133838133,-0.14278965511224,0.0968223174992228,-0.0205099238235672
"M51",0.0453725433274595,-0.0801827112678826,0.179935181892513,0.176703520912631,-0.118398375606582,0.128554848158119,0.299694737120059
"M52",0.0197285086696165,-0.0889453097476946,0.241190502066998,0.200371370516056,-0.164584533717247,0.124957274226138,0.147700833337141
"M60",0.0642724732470691,-0.0786815929743494,0.201604694398686,0.187603512928522,-0.173346836462697,0.0462548547652761,0.133549886012447
"M62",0.112489879775976,-0.0512488383491982,0.16439139162439,0.204038406766409,-0.198534838486938,-0.0130603080906549,-0.104958912384933
"M63",0.125257773289494,-0.0230471561131355,0.0843107816588767,0.156065100728917,-0.148376930471163,-0.0656736851639164,0.0481000853165433
"M72",0.101325183053526,-0.0430636287116239,0.0888676746063363,0.144725299955802,-0.10810099037194,-0.00818188548734558,0.209719706452232
"M73",0.303591977310338,0.175454897712898,0.0957184589063917,0.232467273370874,-0.204924944519436,-0.168001302990994,-0.037810333466766
"M74",0.259313486944968,0.148927568970123,0.070155889885222,0.202927652218332,-0.104146175226227,-0.0467583924745061,0.220296890623018
"M75",0.232632689909426,0.114847469477914,0.0776463513372166,0.180835452213768,-0.155023778666027,-0.0702053430607841,0.15965295843785
"M85",0.256866792560829,0.375315575674344,0.0286657096633896,0.13665604640964,-0.137235873402507,-0.154940300425543,-0.161767749043548
"M86",0.306217416439982,0.474691889588392,0.0152458957553782,0.146929879057629,-0.208758606269297,-0.244023944900222,-0.207165341103092
"M87",0.307899268770655,0.423561702217679,0.0817264180909811,0.194874114919397,-0.19893724405982,-0.174953580184795,-0.327613522109502
"M88",0.276335213710841,0.424257563119121,0.0355047752113251,0.141113653463832,-0.194387629844671,-0.245855202967773,-0.158242329150149
