"","MEbrown","MEturquoise","MEgreen","MEblue","MEyellow"
"M9",-0.0511746648588633,-0.254805573696398,0.201421719104156,0.21886453334938,-0.0650960851197616
"M9_1",-0.0435957868230306,-0.254914745942711,0.190728855035837,0.220581153777545,-0.0620569488147562
"M9_2",-0.0264918957151792,-0.245707989864364,0.243232261075187,0.244025785293181,-0.0320939654014312
"M9_3",-0.00849367415375151,-0.247288489583531,0.231724666201819,0.265374147566089,-0.0483755397435878
"M13",-0.0170289096897664,-0.272791285031021,0.209849794263024,0.193219400208592,0.107628305780579
"M13_1",-0.0190268838903148,-0.272754658056761,0.226206481524239,0.19035340256279,0.105975674670832
"M13_2",-0.00620794782898248,-0.276082095180868,0.213211675341523,0.170281958854114,0.102925887132098
"M13_3",0.00604446000833462,-0.272041731234383,0.287932739672794,0.207991297074886,0.107469365052273
"M23",-0.237881910686451,-0.124232902495676,-0.0816715026096202,0.113610791188781,0.152950507389573
"M23_1",-0.251538691522463,-0.127676273550937,-0.0740592911975448,0.100397300887855,0.159811175175339
"M23_2",-0.229289526429597,-0.1204013889259,-0.0135105069202165,0.130213380762343,0.154188301197552
"M23_3",-0.236192298816106,-0.136288278583219,-0.053165886117148,0.122619324755197,0.138987870059309
"M35",-0.114758624368349,0.052373763112496,0.0184026508714016,-0.0232648185387129,0.188709972881461
"M35_1",-0.120753140977482,0.0434058142448167,0.0129966680911185,-0.0331271936573213,0.172947869205825
"M35_2",-0.117286298123682,0.0441367576218246,0.0100835966091255,-0.0321142926380748,0.189229780312064
"M35_3",-0.131096128431988,0.0331522009867262,-0.0123841033247247,-0.0290232665194105,0.162305395785667
"M52",-0.0497387084541096,0.147911536087295,-0.200809753544865,-0.0174372442484003,0.0909436754258244
"M52_1",-0.05318588707377,0.147473856309717,-0.201696968189624,-0.0189240101262142,0.0784229174551788
"M52_2",-0.0661050059001577,0.149670525072774,-0.24569102880656,-0.0218212769481903,0.0861559968267718
"M52_3",-0.0571856506377068,0.149412151303093,-0.251925953004372,-0.0174723634663175,0.0983638606477645
"M60",-0.0736082500327373,0.136627375119711,-0.0243179895807189,-0.00811657326024556,0.086589607364138
"M60_1",-0.065972801482316,0.135491757749403,-0.0275387996969179,-0.0113105971220902,0.088255293940876
"M60_2",-0.0772439033712791,0.138308179047656,-0.0379189044692232,0.0156401241112362,0.0952940581798842
"M60_3",-0.0937667553293196,0.123523875390155,-0.0169220416289412,-0.0390309213958422,0.0924581455485618
"M72",0.153009621024533,0.184017394011721,-0.287205397064673,-0.142149297969711,-0.237384328819232
"M72_1",0.161796605104235,0.191001477681976,-0.279843277412507,-0.134529701958757,-0.224696834257647
"M72_2",0.157977982039184,0.183271838598691,-0.239902064526938,-0.146681711861867,-0.235125698716549
"M72_3",0.160383602030399,0.191036600910729,-0.279413989064079,-0.114268780298186,-0.209025769413677
"M85",0.360617713981985,0.132594960523452,0.0812917693454763,-0.360424576487696,-0.356321954308732
"M85_1",0.375762904274893,0.139794830708077,0.0874714203110204,-0.35085191114342,-0.339389464984221
"M85_2",0.391750372887927,0.1450431725603,0.118085037001235,-0.344671026750111,-0.335078188126881
"M85_3",0.380280083245913,0.136737345105158,0.195338122710713,-0.347953036001423,-0.314968882325095
